PC_Timestamp,Pico_Timestamp,Pressure,Temperature,Encoder_Degrees
16:52:23.082,5597540486,101242.000,23.800,89411.336
16:52:23.186,5597643483,101242.000,23.810,89564.812
16:52:23.287,5597745480,101238.000,23.810,89566.141
16:52:23.495,5597952472,101239.000,23.810,89566.164
16:52:23.597,5598055484,101239.000,23.800,89709.930
16:52:23.700,5598157482,101242.000,23.800,89719.469
16:52:23.801,5598259479,101239.000,23.800,89720.961
16:52:24.008,5598466481,101241.000,23.800,89720.977
16:52:24.110,5598568485,101242.000,23.810,89731.531
16:52:24.212,5598670485,101239.000,23.810,89874.656
16:52:24.314,5598772482,101241.000,23.810,89875.781
16:52:24.522,5598979472,101241.000,23.810,89875.781
16:52:24.624,5599081484,101242.000,23.810,90024.391
16:52:24.727,5599184484,101237.000,23.800,90029.172
16:52:24.829,5599287484,101240.000,23.800,90030.492
16:52:25.036,5599494478,101243.000,23.810,90030.516
16:52:25.139,5599596479,101240.000,23.800,90155.625
16:52:25.241,5599698481,101239.000,23.800,90183.625
16:52:25.343,5599801486,101238.000,23.800,90185.359
16:52:25.550,5600008474,101242.000,23.810,90185.406
16:52:25.653,5600111484,101240.000,23.800,90335.133
16:52:25.755,5600213482,101242.000,23.810,90338.852
16:52:25.856,5600314482,101241.000,23.810,90340.164
16:52:26.064,5600522486,101245.000,23.810,90340.164
16:52:26.170,5600628482,101236.000,23.800,90340.164
16:52:26.273,5600731494,101241.000,23.800,90493.586
16:52:26.376,5600833480,101243.000,23.810,90494.891
16:52:26.583,5601041479,101239.000,23.800,90494.891
16:52:26.686,5601144491,101241.000,23.800,90552.234
16:52:26.788,5601246481,101242.000,23.810,90649.156
16:52:26.891,5601348492,101240.000,23.810,90649.758
16:52:27.098,5601555477,101243.000,23.810,90649.758
16:52:27.200,5601657487,101242.000,23.810,90794.984
16:52:27.301,5601759485,101242.000,23.810,90803.000
16:52:27.403,5601861482,101240.000,23.810,90804.578
16:52:27.612,5602070474,101243.000,23.810,90804.578
16:52:27.715,5602173493,101237.000,23.800,90899.953
16:52:27.816,5602274485,101239.000,23.800,90957.422
16:52:27.919,5602377484,101242.000,23.800,90959.359
16:52:28.131,5602588479,101241.000,23.800,90959.406
16:52:28.233,5602691484,101241.000,23.800,91107.766
16:52:28.335,5602793493,101242.000,23.800,91112.703
16:52:28.437,5602895488,101242.000,23.800,91112.703
16:52:28.645,5603103476,101241.000,23.800,91114.219
16:52:28.748,5603205483,101243.000,23.800,91260.930
16:52:28.850,5603308482,101239.000,23.800,91267.539
16:52:28.952,5603410490,101245.000,23.810,91268.961
16:52:29.159,5603617474,101240.000,23.800,91268.984
16:52:29.263,5603720490,101242.000,23.800,91384.375
16:52:29.364,5603822490,101240.000,23.800,91421.945
16:52:29.465,5603923494,101242.000,23.810,91423.781
16:52:29.674,5604131477,101241.000,23.800,91423.805
16:52:29.775,5604233488,101241.000,23.800,91472.875
16:52:29.877,5604335490,101244.000,23.810,91577.984
16:52:29.980,5604436486,101243.000,23.810,91578.578
16:52:30.189,5604646483,101238.000,23.810,91578.578
16:52:30.292,5604749482,101236.000,23.800,91727.922
16:52:30.394,5604852482,101241.000,23.800,91732.117
16:52:30.496,5604954478,101239.000,23.800,91733.492
16:52:30.703,5605161472,101242.000,23.810,91733.492
16:52:30.805,5605263485,101241.000,23.800,91733.492
16:52:30.914,5605366480,101240.000,23.800,91887.062
16:52:31.016,5605474490,101239.000,23.790,91888.219
16:52:31.224,5605681475,101240.000,23.800,91888.250
16:52:31.326,5605784479,101238.000,23.800,92023.320
16:52:31.435,5605893485,101236.000,23.790,92041.383
16:52:31.539,5605996483,101241.000,23.800,92043.031
16:52:31.745,5606203479,101244.000,23.800,92043.047
16:52:31.848,5606306481,101238.000,23.800,92162.977
16:52:31.951,5606408492,101239.000,23.800,92162.977
16:52:32.053,5606510496,101240.000,23.800,92197.758
16:52:32.260,5606718477,101239.000,23.810,92197.805
16:52:32.363,5606820481,101239.000,23.800,92309.883
16:52:32.465,5606923484,101239.000,23.800,92350.570
16:52:32.567,5607025494,101241.000,23.800,92352.516
16:52:32.774,5607232487,101239.000,23.800,92352.555
16:52:32.876,5607334474,101240.000,23.810,92352.555
16:52:32.977,5607435487,101241.000,23.810,92506.016
16:52:33.083,5607540487,101237.000,23.800,92507.375
16:52:33.301,5607747475,101239.000,23.800,92507.375
16:52:33.393,5607851496,101238.000,23.800,92637.312
16:52:33.496,5607953492,101240.000,23.810,92660.469
16:52:33.598,5608056494,101239.000,23.800,92660.469
16:52:33.805,5608263480,101241.000,23.800,92662.203
16:52:33.911,5608365488,101242.000,23.810,92743.320
16:52:34.013,5608471488,101238.000,23.800,92816.617
16:52:34.116,5608573483,101235.000,23.800,92816.938
16:52:34.323,5608781474,101240.000,23.800,92816.938
16:52:34.425,5608883487,101240.000,23.800,92884.164
